"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal"
"experiment_ID","EID","EID",1,1,"Experiment identifier","text","single","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"name_of_experiment","EXNAME","EXNAME",2,,"Name of experiment","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,1,
"exp_code_local","LOCAL_ID","LOCAL_ID",3,,"Locally used ID for experiment","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"experiment_name_local","LOCAL_NAME","LOCAL_NAME",4,,"Locally used name for experiment","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,".",,,,
"objectives_of_study","OBJECTIVES","OBJECTIVES",5,,"Objectives of the study","text","memo","EXPERIMENT","METADATA","GENERAL",,1011,,".",,,,
"experiment_narrative","EXP_NARR","EXP_NARR",,,"General description of experiment. Can include noteworthy events, findings, etc.","text","memo","EXPERIMENT","METADATA","GENERAL",,1011,"2017-09-14, JWW",,,,,
"main_experiment_factor","MAIN_FACTOR","MAIN_FACTOR",6,,"Main factor, factors or interactions of interest in an experiment","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"experimental_factor_comb","FACTORS","FACTORS",7,,"Experimental factor combinations","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,".",,,,
"number_of_replicates","REP_NO","REP_NO",8,,"Number of blocks or replicates","number",,"EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"number_of_treatments","TRT_COUNT","TRT_COUNT",9,,"Number of treatments","number",,"EXPERIMENT","METADATA","GENERAL",,1011,"2023-03-22, CHP",,,,,
"method_notes","METHODS","METHODS",10,,"General notes on execution of experiment.","text","memo","EXPERIMENT","METADATA","GENERAL",,1011,,".",,,,
"experiment_type","EXPER_TYPE","EXPER_TYPE",11,,"General type of experiment, e.g., varietal trial","code","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"experimental_design","EXPER_DESIGN","EXPER_DESIGN",12,,"Experimental design","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"site_name","SITE_NAME","SITE_NAME",13,,"Name of site for experiment","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"site_type","SITE_TYPE","SITE_TYPE",14,,"Type of site, e.g., station, on-farm","code","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"management_type","MGMT_TYPE","MGMT_TYPE",15,,"Whether managed by researchers, producers","code","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"experiment_year","EXP_YEAR","EXP_YEAR",16,,"Year associated with experiment or crop rotation","date[yyyy]","single","EXPERIMENT","METADATA","GENERAL",,1011,"2020-06-09, CHP",,,,,
"experiment_duration","EXP_DUR","EXP_DUR",17,,"Duration of experiment in years","year","single","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"exper_duration_seasons","EXP_DUR_SEAS","EXP_DUR_SEAS",18,,"Duration of experiment in seasons","number","single","EXPERIMENT","METADATA","GENERAL",,1011,"2020-12-03, CHP",,,,,
"anonymization","ANONYMIZ","ANONYMIZ",19,,"Indication of whether location should be anonymized (N= anonymize names, L = anonymize locations, NL or LN  = anonymize both names and location)","text","text","EXPERIMENT","METADATA","GENERAL",,1011,"2023-03-06, CHP",,,,,
"rotation","ROTATION","ROTATION",20,,"Crop rotation indicator (=1 for continuous, multi-year simulation, =0 for single year simulations with multiple initializations)","code","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"cropping_system","CR_SYSTEM","CR_SYSTEM",21,,"Cropping system descriptive name","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"ex_license","EX_LICENSE","EX_LICENSE",22,,"Data license name and url","text","memo","EXPERIMENT","METADATA","GENERAL",,1011,"2015-11-24, CHP",".",,,,
"distrib_restrictions","EX_DISTRIB","EX_DISTRIB",23,,"Distribution limitations for the data set","text","memo","EXPERIMENT","METADATA","GENERAL",,1011,"2013-02-14, CHP",".",,,,
"ex_funding_source","EX_FUNDING_SOURCE","EX_FUNDING_SOURCE",24,,"Funding source(s) for this data set","text","memo","EXPERIMENT","METADATA","GENERAL",,1011,"2015-11-24, CHP",".",,,,
"file_version","VERSION","VERSION",31,,"File version for ICASA standard","text","text","EXPERIMENT","METADATA","GENERAL",,1011,,".",,,,
"revision_date_first","REV_DATE_FIRST","REV_DATE_FIRST",32,,"Date the file was first created","date",,"EXPERIMENT","METADATA","GENERAL",,1011,,".",,,,
"revision_date_latest","REV_DATE_LATEST","REV_DATE_LATEST",33,,"Date the file was last revised","date",,"EXPERIMENT","METADATA","GENERAL",,1011,,".",,,,
"revision_notes","REVISION_NOTES","REVISION_NOTES",34,,"Notes describing reasons for the revision","text","memo","EXPERIMENT","METADATA","GENERAL",,1011,,,,,,
"people_level","PP","PP",1,1,"id","number","single","EXPERIMENT","METADATA","PERSONS",,1031,,,,,,
"researcher_last_name","LAST_NAME","LAST_NAME",2,,"Last name of researchers involved with the experiment(s) or data","text","text","EXPERIMENT","METADATA","PERSONS",,1031,,".",,,,
"researcher_first_name","FIRST_NAME","FIRST_NAME",3,,"First name of researchers involved with the experiment(s) or data","text","text","EXPERIMENT","METADATA","PERSONS",,1031,,,,,,
"researcher_name_mi","MID_INITIAL","MID_INITIAL",4,,"Middle initial of researchers involved with the experiment(s) or data","text","text","EXPERIMENT","METADATA","PERSONS",,1031,,,,,,
