"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal"
"weather_file","WST_DATASET","WST_DATASET",1,,"Weather dataset containing relevant data","text","text","WEATHER","WEATHER_METADATA","GENERAL",,5001,,,,,,
"weather_notes","WST_NOTES","WST_NOTES",2,,"General notes on the weather dataset","text","memo","WEATHER","WEATHER_METADATA","GENERAL",,5001,,".",,,,
"distrib_restrictions_wst","WST_DISTRIB","WST_DISTRIB",3,,"Distribution limitations for the weather data set","text","memo","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-02-14, 2013-04-18, CHP",".",,,,
"file_version_wst","VERSION_WST","VERSION_WST",4,,"File version for ICASA standard","text","text","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-04-18, CHP",".",,,,
"revision_date_first_wst","REV_DATE_FIRST_WST","REV_DATE_FIRST_WST",5,,"Date the file was first created","date",,"WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-04-18, CHP",".",,,,
"revision_date_latest_wst","REV_DATE_LATEST_WST","REV_DATE_LATEST_WST",6,,"Date the file was last modified","date",,"WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-04-18, CHP",".",,,,
"revision_notes_wst","REVISION_NOTES_WST","REVISION_NOTES_WST",7,,"Notes describing reasons for the revision","text","memo","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2013-04-18, CHP",".",,,,
"weather_citation","wst_citation","wst_citation",1,,"Full citation for weather data","text","text","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2014-03-17, chp",,,,,
"weather_license","wst_license","wst_license",1,,"License associated with weather data","text","text","WEATHER","WEATHER_METADATA","GENERAL",,5001,"2014-03-17, chp",,,,,
"weather_sta_reference","wst_ref","wst_ref",12,,"URL, DOI or other link to description of weather station","text","text","WEATHER","WEATHER_METADATA","GENERAL",,,,,,,,
"researcher_last_name","LAST_NAME","LAST_NAME",2,,"Last name of researchers involved with the experiment(s) or data","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,".",,,,
"researcher_first_name","FIRST_NAME","FIRST_NAME",3,,"First name of researchers involved with the experiment(s) or data","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,
"researcher_name_mi","MID_INITIAL","MID_INITIAL",4,,"Middle initial of researchers involved with the experiment(s) or data","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,
"researcher_role","PP_ROLE","PP_ROLE",5,,"Role of researcher in experiment or dataset preparation","code","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,
"researcher_address","WST_ADDRESS","WST_ADDRESS",4,,"Mailing address of researcher",,,"WEATHER","WEATHER_METADATA","PERSONS",,5011,"2014-03-14, chp",,,,,
"institute_ID_person","IN","INP",6,,"Links to institutions",,"single","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,
"e_mail_address","WST_EMAIL","WST_EMAIL",7,,"E-mail address of researcher","text","text","WEATHER","WEATHER_METADATA","PERSONS",,5011,,,,,,
"institute_ID","IN","IN",1,1,"id",,"single","WEATHER","WEATHER_METADATA","INSTITUTIONS",,5012,,,,,,
"institute_name","INST_NAME","INST_NAME",2,,"Names of participating institute","text","text","WEATHER","WEATHER_METADATA","INSTITUTIONS",,5012,,,,,,
"institute_type","IN_TYPE","IN_TYPE",3,,"Type of participating institutions","code","single","WEATHER","WEATHER_METADATA","INSTITUTIONS",,5012,,,,,,
"institute_role","IN_ROLE","IN_ROLE",4,,"Role of participating institutions","code","single","WEATHER","WEATHER_METADATA","INSTITUTIONS",,5012,,,,,,
"document_ID_wst","DOC_ID_WST","DOC_ID_WST",1,1,"id",,"single","WEATHER","WEATHER_METADATA","DOCUMENTS",,5013,"2013-04-18, CHP",,,,,
"document_name_wst","DOCUMENT_WST","DOCUMENT_WST",2,,"Document name in abbreviated form","text","memo","WEATHER","WEATHER_METADATA","DOCUMENTS",,5013,"2013-04-18, CHP",,,,,
"digital_object_identifier_wst","DIGITAL_OBJ_ID_WST","DIGITAL_OBJ_ID_WST",3,,"Digital_object_identifier according to international standard","text","memo","WEATHER","WEATHER_METADATA","DOCUMENTS",,5013,"2013-04-18, CHP",,,,,
"weather_id","WID","WID",0,1,"unique id to link to weather data","number","single","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,,,,,
"weather_station_id","WST_ID","WST_ID",1,,"Weather station identifier to link to site information","text","text","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,"WST_ID","WTH META",6001,,
"weather_station_name","WST_NAME","WST_NAME",2,,"Weather station name","text","text","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,"2014-03-17, chp","WST_NAME","WTH META",6002,,
"weather_station_site","WST_SITE","WST_SITE",3,,"Name and location of site for weather data","text","text","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,"2014-03-17, chp",,,,,
"wsta_location_country","WST_LOC_1","WST_LOC_1",4,,"First admin for location of site for soil profile (usually country)","text","text","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,,,,,
"wsta_loc_2nd_level","WST_LOC_2","WST_LOC_2",5,,"Second admin level for location of site for soil profile (usually state or province)","text","text","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,,,,,
"wsta_loc_3rd_level","WST_LOC_3","WST_LOC_3",6,,"Third admin level for location of site for soil profile (usually county or municipality)","text","text","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,,,,,
"weather_sta_latitude","WST_LAT","WST_LAT",7,,"Latitude of station, degrees decimal with North as positive value","decimal_degrees","single","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,"LAT","WTH META",6003,-80,80
"weather_sta_longitude","WST_LONG","WST_LONG",8,,"Longitude of station, degrees decimals with East as positive value","decimal_degrees","single","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,"LONG","WTH META",6004,-180,180
"weather_sta_elevation","WST_ELEV","WST_ELEV",9,,"Elevation of weather station","m","single","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,"ELEV","WTH META",6005,-400,5000
"source_daily_weather","WST_SOURCE","WST_SOURCE",10,,"Source of daily weather data for calculated means or weather generator parameters","text","text","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,".",,,,
"weather_sta_start_date","WST_START_DATE","WST_START_DATE",11,,"Start date of all weather records from station.","date",,"WEATHER","WEATHER_STATION","STATION_METADATA",,5041,"2017-03-17, jww",,,,,
"weather_sta_end_date","WST_END_DATE","WST_END_DATE",12,,"End date of all weather records from station.","date",,"WEATHER","WEATHER_STATION","STATION_METADATA",,5041,"2017-03-17, jww",,,,,
"temperature_avg_year","TAV","TAV",13,,"Temperature average for whole year","degree_C","single","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,"TAV","WTH META",6006,-10,40
"temp_range_month_avg","TRANGE","TRANGE",14,,"Temperature range (peak to trough) of 12 monthly averages","degree_C","single","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,,,,,
"temp_amplit_month_avg","TAMP","TAMP",15,,"Temperature amplitude (peak to trough) of 12 monthly averages","degree_C","single","WEATHER","WEATHER_STATION","STATION_METADATA",,5041,,"AMP","WTH META",6007,,
