"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal"
"Exp_id","EID","EID",0,,"id",,"single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"treatment_ID","TREAT_ID","TREAT_ID",1,1,"Treatment identifier, unique internal ID","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"experiment_ID","EXPER_ID","EXPER_ID",2,1,"Experiment database key, links to ED table","text","text","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"treatment_number","TRTNO","TRTNO",3,,"Treatment number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"TN","TREATMENTS",2101,,
"replicate_number","RP","RP",4,,"Replicate number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,".",,,,
"sequence_number","SQ","SQ",5,,"Sequence number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"R","TREATMENT",2102,,
"option_for_crop_in_seq","OP","OP",6,,"Option for crop in sequence (e.g., crop failed)","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"O","TREATMENT",2103,,
"crop_component_number","CO","CO",7,,"Crop component number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"C","TREATMENT",2104,,
"treatment_name","TRT_NAME","TRT_NAME",8,,"Treatment name","text","text","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"TNAME, TNAM","TREATMENT",2105,,
"genotype_level_number","GE","GE",9,,"Genotype level number","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"CU","TREATMENT",2111,,
"genotype_level_id","GE_id","GE_id",10,,"Genotype level database key","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"field_level","FL","FL",11,,"Field level identifier","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"FL","TREATMENT",2112,,
"field_level","FL_id","FL_id",12,,"Field level database key","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,".",,,,
"soil_analysis_level","SA","SA",13,,"Soil analysis, treatment level identifier","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"SA","TREATMENT",2113,,
"soil_analysis_level","SA_id","SA_id",14,,"Soil analysis, database key","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"initial_conditions_level","IC","IC",15,,"Initial conditions level","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"IC","TREATMENT",2114,,
"initial_conditions_level","IC_id","IC_id",16,,"Initial conditions database key","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"planting_level","PL","PL",17,,"Planting, level in treatment structure","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"MP","TREATMENT",2115,,
"planting_level","PL_id","PL_id",18,,"Planting, database key for treatments","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"irrigation_level","IR","IR",19,,"Irrigation level in treatment structure","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"MI","TREATMENT",2116,,
"irrigation_level","IR_id","IR_id",20,,"Irrigation level database key for treatments","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,".",,,,
"fertilizer_level","FE","FE",21,,"Fertilizer level in treatment structure","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"MF","TREATMENT",2117,,
"fertilizer_level","FE_id","FE_id",22,,"Fertilizer level database key for treatments","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"org_materials_applic_lev","OM","OM",23,,"Organic materials application level","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"MR","TREATMENT",2118,,
"org_materials_applic_lev","OM_id","OM_id",24,,"Organic materials database key","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"chemical_applic_level","CH","CH",25,,"Chemicals application level","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"MC","TREATMENT",2119,,
"chemical_applic_level","CH_id","CH_id",26,,"Chemicals application database key","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"tillage_level","TI","TI",27,,"Tillage operation level","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"MT","TREATMENT",2120,,
"tillage_level","TI_id","TI_id",28,,"Tillage operation level","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,".",,,,
"environmental_modif_lev","EM","EM",29,,"Environmental modifications level","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"ME","TREATMENT",2119,,
"environmental_modif_lev","EM_id","EM_id",30,,"Environmental modifications database key for treatment levels","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"harvest_operations_level","HA","HA",31,,"Harvest operations level","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"MH","TREATMENT",2121,,
"harvest_operations_level","HA_id","HA_id",32,,"Harvest operations database key for treatment levels","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,,,,,
"simulation_control_level","SM","SM",35,,"Simulation control level","number","single","EXPERIMENT","MANAGEMENT","TREATMENTS",,2011,,"SM","TREATMENT",2123,,
