"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal"
"id","OID","OID",0,1,"id",,"single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"OID","OBS DATA LINK",6901,,
"observ_treat_ID","TREAT_ID","TREAT_ID",1,,"Treatment id for observed data, unique internal ID","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,,,,,
"treatment_number","TRTNO","TRTNO",2,,"Treatment number","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"TN","OBS DATA LINK",6902,,
"replicate_number","RP","RP",3,,"Replicate number","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,".",,,,
"sequence_number","SQ","SQ",4,,"Sequence number","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"R","OBS DATA LINK",6903,,
"option_for_crop_in_seq","OP","OP",5,,"Option for crop in sequence","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"O","OBS DATA LINK",6904,,
"crop_component_number","CO","CO",6,,"Crop component number","number","single","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS",,2501,,"C","OBS DATA LINK",6905,,
"OID","OID","OID",0,1,,,"single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"OID","SUMMARY",7001,,
"treatment_lev_ID","OBS_TRT_ID","OBS_TRT_ID",1,,"Treatment id for observed data, unique internal ID","number","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,,
"maturity_day_of_year","MDOY","MDOY",3,,"Growth stage of physiol. maturity, as day of year","doy","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,366
"anthesis_date","ADAT","ADAT",11,,"Growth stage date, anthesis","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"ADAT","SUMMARY",7003,1,99365
"anthesis_day_of_year","ADOY","ADOY",12,,"Anthesis date as day of year","doy","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,366
"anthesis_dap","ADAP","ADAP",13,,"Growth stage as days after planting, anthesis","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,".",,,10,700
"physiologic_maturity_dap","MDAP","MDAP",39,,"Growth stage of physiol. maturity, as days after planting","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,".",,,10,
"physiologic_maturity_dat","MDAT","MDAT",39,,"Growth stage of physiol. maturity, as date","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"MDAT","SUMMARY",7006,1,99365
"harvest_dap","HDAP","HDAP",40,,"Growth stage as days after planting","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,".",,,10,800
"harvest_date","HDATE","HDATE",40,,"Growth stage date, harvest","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"HDAT","SUMMARY",7008,1,99365
"emergence_date","PLDAE","PLDAE",41,,"Growth stage date, emergence","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"EDAT","SUMMARY",7004,1,366
"growth_stage_harvest","GSTH","GSTH",,,"Growth stage when harvest occurs","code","text","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"HSTG","SUMMARY",7009,,
"panicle_initiation_dap","IDAP","IDAP",,,"Growth stage of panicle initiation, as days after planting ","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,10,
